comments,candidate,cleaned_comments
"Two useless parties.
  
  Obia nni h) onim nyansa y3de bu oman.
  They are all criminals",Bawumia,two useless party obia nni onim nyansa de bu oman criminal
Opposition and noise is like 5 and 6,Bawumia,opposition noise like
Y3 de dede bi aba…….?,Bawumia,de dede bi aba
"Ah concert paargh o
  
  These peeps be messing with us",Bawumia,ah concert paargh peep messing u
Look at the concert parties in parliament. These are the people we elected to represent and lead the country,Bawumia,look concert party parliament people elected represent lead country
"Ohh no, mama Africa political leaders behaving like junior high school students.",Bawumia,ohh mama africa political leader behaving like junior high school student
So parliament then SG mall which one sweet pass?,Bawumia,parliament sg mall one sweet pas
Nanka Egya mframa asi ho.we go see who go run or stay.,Bawumia,nanka egya mframa asi ho go see go run stay
Like kids,Bawumia,like kid
Jokers in the Parliament House,Bawumia,joker parliament house
I can see my MP in the minority stands,Bawumia,see mp minority stand
Parliament filled with bunch of comedians eyy,Bawumia,parliament filled bunch comedian eyy
they are just playing with Ghanaians,Bawumia,playing ghanaians
Kwasiasem like this aaa then they will be missing using out taxpayers money and how,Bawumia,kwasiasem like aaa missing using taxpayer money
Interesting times ahead,Bawumia,interesting time ahead
"Don't be scared, I have a vision for Ghana – Freedom Jacob Caesar says after unveiling himself as the man in the mask",Bawumia,scared vision ghana freedom jacob caesar say unveiling man mask
"He should let us see the vision now, must he become President before he can show us his vision then we should give Africa to Dangote and his Billionaire parties",Bawumia,let u see vision must become president show u vision give africa dangote billionaire party
Keep hallucinating,Bawumia,keep hallucinating
"I have vision sɛ sɛn ? 
  Na who doesn't have vision",Bawumia,vision na vision
"Everyone has, even Bawumia claims he can get us out of the mess he and Nana Addo created. It's boils down to how feasible and the implementation strategies that should be invested into the vision and plan. Nana Addo came to promise Ghana a mountain but couldn't create a molehill",Bawumia,everyone even bawumia claim get u mess nana addo created boil feasible implementation strategy invested vision plan nana addo came promise ghana mountain create molehill
"This guy doesn't even believe in Ghanaians. Why? First, he chose undocumented foreigner to be his campaign spokesperson. 2nd, when he was about to unveil his identity as the one behind the mask and outdoor his party, he chose foreigners as speakers. I don't think he respects us",Bawumia,guy even believe ghanaians first chose undocumented foreigner campaign spokesperson nd unveil identity one behind mask outdoor party chose foreigner speaker think respect u
I believe in his vision,Bawumia,believe vision
Somebody who already dresses like a dictator...smh,Bawumia,somebody already dress like dictator smh
Nana Addo and Bawumia are now afraid of Chedder,Bawumia,nana addo bawumia afraid chedder
More heat sire,Bawumia,heat sire
Every body have a vision for Ghana,Bawumia,every body vision ghana
We'll vote for him soon but not this time,Bawumia,vote soon time
Comot for there,Bawumia,comot
"Na how many names does he have? Cheddar, Kwame Bediako , Freedom, Jocob, Caesar...ebei",Bawumia,na many name cheddar kwame bediako freedom jocob caesar ebei
"Everybody keeps saying they have a vision for Ghana but end up messing up things. Infact if you truly have a vision as you're saying then let us hold a big rally, so you can tell us some of the things you want to do. We don't want another failed promise from anyone",Bawumia,everybody keep saying vision ghana end messing thing infact truly vision saying let u hold big rally tell u thing want want another failed promise anyone
"It's just great seeing how the government fears simple billboards and banners.
  Who puts out a mask to strike such fear and panic….",Bawumia,great seeing government fear simple billboard banner put mask strike fear panic
Chedder for team up Kennedy go independent,Bawumia,chedder team kennedy go independent
"Masa keep quiet wai, U think governance is a joke ? Go and ask Nana Addo when JM told him he has never been president before he was blabbing so shut up.",Bawumia,masa keep quiet wai think governance joke go ask nana addo jm told never president blabbing shut
So put them on black and white paper and let us examine them first in order to find out u have clean intentions....,Bawumia,put black white paper let u examine first order find clean intention
First of all concert. Its not like it was a secret. Doing unveiling like iron-man. We're not serious in this country. Wearing mask like money heist. That one is even proof of what he would do when he gets power. Clowns,Bawumia,first concert like secret unveiling like iron man serious country wearing mask like money heist one even proof would get power clown
Start as a parliamentarian and win then we'll take you serious,Bawumia,start parliamentarian win take serious
Post better news item,Bawumia,post better news item
Asem beba dabi!,Bawumia,asem beba dabi
And you think the best way to appear to Ghanaians was through a face mask on a billboard? Bunkum!!!,Bawumia,think best way appear ghanaians face mask billboard bunkum
Hw3 those who came without a mask were stealing our money na you that came with a mask ene3 s3 money heist oooo.,Bawumia,hw came without mask stealing money na came mask ene money heist oooo
An old man like you say you be new generation then me that am 20 be wetin. New generation of what again,Bawumia,old man like say new generation wetin new generation
A vision for fraud and settings,Bawumia,vision fraud setting
"Those who said they will arrest the dollar sef no see top na you with just a vision.
  Start by building enough companies and pay your workers well not like those paying their workers 500 a month. Junior Jesus",Bawumia,said arrest dollar sef see top na vision start building enough company pay worker well like paying worker month junior jesus
Tsewww,Bawumia,tsewww
The rich who are into politics should be careful the wolf is out. Hmmmm,Bawumia,rich politics careful wolf hmmmm
Waa gyimie paaa,Bawumia,waa gyimie paaa
"Kurasini siaaa ,so he should mout bill boards to campaign?",Bawumia,kurasini siaaa mout bill board campaign
So the ones in power . What they do for your life,Bawumia,one power life
Let him show as the vision he is talking about,Bawumia,let show vision talking
We trust you,Bawumia,trust
investigation still going on don't worry. Bad Government,Bawumia,investigation still going worry bad government
"SCARED?. Legally, citizens are allowed to Join Political Party, Form Political Party or Independent. As Independent/ Republic Nation, Government cannot allowed EVEN our former COLONIAL MASTERS to dictate to us AGAIN. And certainly not anyone from Africa or any part of the World.",Bawumia,scared legally citizen allowed join political party form political party independent independent republic nation government cannot allowed even former colonial master dictate u certainly anyone africa part world
What's your vision is it what we are thinking.........,Bawumia,vision thinking
I trust and Believe,Bawumia,trust believe
The man behind the musk.,Bawumia,man behind musk
"He doesn't Ghanaians. 
  He chose a foreigner to be his spokesperson. 
  To unveil his identity he chose foreigners as speakers. 
  He's not serious at all",Bawumia,ghanaians chose foreigner spokesperson unveil identity chose foreigner speaker serious
The comments here shows Ghanaian's have a long way to go in terms Politics (NDC and NPP) supporters.,Bawumia,comment show ghanaian long way go term politics ndc npp supporter
Hmm vision,Bawumia,hmm vision
"The present administration aims to be a dictator while offering weak justifications for their actions. Carry it out, and openly declare you are not in support of such a program; don't hide behind excuses. 
  
  Believe me, they lack courage.",Bawumia,present administration aim dictator offering weak justification action carry openly declare support program hide behind excuse believe lack courage
"All shall pass on 7th December, 2024!",Bawumia,shall pas th december
"What's that state event?
  Was it a planned uprising or civil revolution?
  The paranoia of",Bawumia,state event planned uprising civil revolution paranoia
"These whole thing is still not clear to me cuz the letter head says ``revocation of permit request to use black stars square for the black star line festival "". Can someone explain?.",Bawumia,whole thing still clear cuz letter head say revocation permit request use black star square black star line festival someone explain
The nation is full of surprises,Bawumia,nation full surprise
"Honestly, this old dude is taking this country for a ride",Bawumia,honestly old dude taking country ride
"Why do I feel like my NPP gov't has been in power for more than decades under HE Nana Addo and Bawumia, is it because of the bad leadership",Bawumia,feel like npp gov power decade nana addo bawumia bad leadership
"Shay shay shayyyyme!!!
  Just wait, you guys think there's never gonna be any way to make it out of ur deadly ""politricks"" but it's a lie, Africa is becoming what we all wanted it to become..",Bawumia,shay shay shayyyyme wait guy think never gonna way make ur deadly politricks lie africa becoming wanted become
NPP fo) nnim nyansa sei,Bawumia,npp fo nnim nyansa sei
"One thing about this gov't is, they do bad things with audacity knowing that Ghanaians can't do them foko.",Bawumia,one thing gov bad thing audacity knowing ghanaians foko
The youth have always been left in the loop in your politics and for a young man in his fourties' to venture the presidency must be encouraged and not gagged. All the old men being running your country so far where has it taken you? Wake up! Give young people a chance!,Bawumia,youth always left loop politics young man fourties venture presidency must encouraged gagged old men running country far taken wake give young people chance
And did we see any state event happening on tha grounds on tha day and date for tha convention?,Bawumia,see state event happening tha ground tha day date tha convention
With the current system of governance we have I think the approach was too loud. He could've gone through the normal registration as apolitical party first then start campaigning before he does the grand unveiling. However this tactics he wanted to use looks scary to them.,Bawumia,current system governance think approach loud could gone normal registration apolitical party first start campaigning grand unveiling however tactic wanted use look scary
lol the government saw Julius Malema name and said nah we ain't risking it lol,Bawumia,lol government saw julius malema name said nah risking lol
Shame unto of the president and his handlers. Cowards.,Bawumia,shame unto president handler coward
"So after cancelation, which event was held there?",Bawumia,cancelation event held
"""Unforeseen State event"" not any good excuse. How could a State event be unforeseen? Can everyone in the JH be so forgetful or were all of them drunk to forget about a State event? 67 year old Ghana is in trouble with this poor governance & seeming dictatorship.",Bawumia,unforeseen state event good excuse could state event unforeseen everyone jh forgetful drunk forget state event year old ghana trouble poor governance seeming dictatorship
Unforeseen,Bawumia,unforeseen
Liars,Bawumia,liar
Unforseen? Ei,Bawumia,unforseen ei
"You guys thinks , you're going to be in power forever eeerh ?? Smh",Bawumia,guy think going power forever eeerh smh
Concert. What state event?,Bawumia,concert state event
"Not surprised. The Nana Addo, Bawumia & NPP would go any length to display their power to halt and cripple any group or person they find as obstacle against their scheme of rigging the 2024 election. This is just a child's play, watch as more unfold in the coming weeks.",Bawumia,surprised nana addo bawumia npp would go length display power halt cripple group person find obstacle scheme rigging election child play watch unfold coming week
See gyimiiiii mu hexagon,Bawumia,see gyimiiiii mu hexagon
We hear u won't stay in power for ever.. the law of Karma await us,Bawumia,hear stay power ever law karma await u
Liars! International community already knows by now how state machinery is being used to gag free speech and trample upon freedom of political association which are all guaranteed under your constitution. Dictatorship!,Bawumia,liar international community already know state machinery used gag free speech trample upon freedom political association guaranteed constitution dictatorship
Dr. Deception and Mother Serpent are a bad example to the youth of Ghana,Bawumia,dr deception mother serpent bad example youth ghana
What's unforeseen about calling military and police . This kind of childish excuses are too much now,Bawumia,unforeseen calling military police kind childish excuse much
"Unforeseen state event scheduled,..ei
  Unforeseen buh dem schedule am,d contri cast!",Bawumia,unforeseen state event scheduled ei unforeseen buh dem schedule contri cast
"KwasiafoÉ""",Bawumia,kwasiafo
Nkwasia line s3 'Unforseen State Event',Bawumia,nkwasia line unforseen state event
"I am beginning to understand what our Freedom Fighters went through in the hands of Colonial masters, judging by what is happening now.",Bawumia,beginning understand freedom fighter went hand colonial master judging happening
Such a useless govt!!!,Bawumia,useless govt
how can you tell me this story?,Bawumia,tell story
"How can a State Event be unforeseen? What State event took place at the venue on the day that flag staff house could not foresee?
  Surely if there was a state event, the chief of staff ought to know in advance.
  Was this incompetence or a deliberate ploy to stop the New Force?",Bawumia,state event unforeseen state event took place venue day flag staff house could foresee surely state event chief staff ought know advance incompetence deliberate ploy stop new force
The presidency must be ashamed of themselves. Your greediness and selfishness dont want to see Ghana grow..,Bawumia,presidency must ashamed greediness selfishness dont want see ghana grow
You're left with 11 months to go away and your kids will live to suffer the pain you cause citizens next president my appeal is make the country hot for his plenty girls n family waii close down their investments across the globe make it so hard for them to access,Bawumia,left month go away kid live suffer pain cause citizen next president appeal make country hot plenty girl family waii close investment across globe make hard access
Insensitive government.,Bawumia,insensitive government
yooo!,Bawumia,yooo
Akuffo Addo's government is a dictatorship government skinned in democracy. I have said. Period,Bawumia,akuffo addo government dictatorship government skinned democracy said period
dictatorship,Bawumia,dictatorship
Next president should make this country hot for Akuffo Addos children n family law close down all their businesses him their diplomatic passport etc,Bawumia,next president make country hot akuffo addos child family law close business diplomatic passport etc
WasI the president expecting Meekmil,Bawumia,wasi president expecting meekmil
Someone should tell me about the unforseen state event yesterday. Did the president's office get flooded by the VRA?,Bawumia,someone tell unforseen state event yesterday president office get flooded vra
"I think we need clarity on what ""unforeseen event"" means. This country is a joke",Bawumia,think need clarity unforeseen event mean country joke
Can the Unforseen State Event be made known to clear all doubts?,Bawumia,unforseen state event made known clear doubt
What does unforseen mean?,Bawumia,unforseen mean
"Some are saying security areas, the letter is saying unforseen event. This one dierr anybody can see right through it",Bawumia,saying security area letter saying unforseen event one dierr anybody see right
Shameful Presidency,Bawumia,shameful presidency
Unforeseen low voter turnout led to pronouncing Bawumia as the next President,Bawumia,unforeseen low voter turnout led pronouncing bawumia next president
Eii Akuffo Addo Alibba the thief,Bawumia,eii akuffo addo alibba thief
"Which unforeseen state event?
  Come to think of it, how can a working state not plan for its own events to the point of having ""unforeseen state event""?",Bawumia,unforeseen state event come think working state plan event point unforeseen state event
Everything in this NPP government has been 'unforeseen'.,Bawumia,everything npp government unforeseen
State event,Bawumia,state event
"So who got fired, who didn't do his job well.
  
  Leys just say, ""we are not ignorant of the schemes of the devil"". 
  
  If the media pretend like this is normal where a sitting government uses state resources to intimidate oppositions, embrace yourselves for impact.",Bawumia,got fired job well ley say ignorant scheme devil medium pretend like normal sitting government us state resource intimidate opposition embrace impact
But yesterday no event was organized at the premises,Bawumia,yesterday event organized premise
Disgraceful,Bawumia,disgraceful
"One undemocratic governance I've seen and read about so far...
  They wrote in books that Rawlings was a dictator and undemocratic but I will justify that and say no, Nana Addo and his people are the most undemocratic government so far",Bawumia,one undemocratic governance seen read far wrote book rawlings dictator undemocratic justify say nana addo people undemocratic government far
Nkrumah might have said the same thing not knowing some ratata gangs were planning otherwise with the help of foreign aid.,Bawumia,nkrumah might said thing knowing ratata gang planning otherwise help foreign aid
You have few months to leave office with your head bow down . Your admi would forever leave in INFAMY! Shaaaaaame,Bawumia,month leave office head bow admi would forever leave infamy shaaaaaame
That does not mean you haven't Failed Mr. President?? Statement like this suggest to us there have been some attempts already because of your corrupt and bad governance. You have failed but certainly you will not be ousted by a coup. Get ready for the big Change in 2024.,Bawumia,mean failed mr president statement like suggest u attempt already corrupt bad governance failed certainly ousted coup get ready big change
"Yes bcos u rather did an economic coup against the people.
  
  No one get ur time to waste a life.",Bawumia,yes bcos rather economic coup people one get ur time waste life
We will vote ur party out so that it will pain u. We won't waste time,Bawumia,vote ur party pain waste time
It's sad how he feels ppl listen to him when he speaks. Anyway he's been a talker since day 1. No action.,Bawumia,sad feel ppl listen speaks anyway talker since day action
Its not up to u grandpa,Bawumia,grandpa
"His watch is almost over. May Never See The Likes of him ever again.
  Maybe he should start writing a book or take up golf. His speeches means almost nothing these days.",Bawumia,watch almost may never see like ever maybe start writing book take golf speech mean almost nothing day
As if it's the president who decides whether or not there'll be coup.,Bawumia,president decides whether coup
"Who dey even threaten you or the state wey coup d'etat go even happen?
  Does convention of four renowned political activist and presidential candidates of two different country set the tone for coup?
  You just fear to defend what's call democracy cos it's now democrazy.",Bawumia,dey even threaten state wey coup etat go even happen convention four renowned political activist presidential candidate two different country set tone coup fear defend call democracy co democrazy
"Eeeii he is still our president, wow",Bawumia,eeeii still president wow
"Who's gonna waste time, resource & strength to upset the country's peace on your sluggish government when you're already out? Your government is inept but we'll make sure you handover constitutionally. You want a lean way out but we shan't allow, you'll handover with a shame!",Bawumia,gonna waste time resource strength upset country peace sluggish government already government inept make sure handover constitutionally want lean way allow handover shame
Judgement day even if I'm in heaven I will spend the holidays in hell just to see some people's punishment!,Bawumia,judgement day even heaven spend holiday hell see people punishment
He is just lucky that Ghanaians are peaceful people.,Bawumia,lucky ghanaians peaceful people
That's why he keeps increasing the salaries of the Army.,Bawumia,keep increasing salary army
abeg nobody is going to do coup under your watch. We all want your failure to be certified after your watch. Keep calm and search for your certificate,Bawumia,abeg nobody going coup watch want failure certified watch keep calm search certificate
"Why should you be concerned about coup, if you know you're performing?",Bawumia,concerned coup know performing
I won't be surprised if it happens right under his watch though. People like him who have said this did palace coups right after... but for him... we wont allow it. Nobody actually cares about his old miserable self,Bawumia,surprised happens right watch though people like said palace coup right wont allow nobody actually care old miserable self
Wode3 y3 guy guy,Bawumia,wode guy guy
Eeeei,Bawumia,eeeei
no one will do coup so that u will run to UK with ur stolen worth to seek asylum n protection! Stay in Ghana n after ur term we will take you to court!,Bawumia,one coup run uk ur stolen worth seek asylum protection stay ghana ur term take court
"Di bi tu ni bia tu ninkurigu, amaa doo ŋɔ ŋuna, nikur' sheeje n ny'o!",Bawumia,di bi tu ni bia tu ninkurigu amaa doo una nikur sheeje ny
Evil man,Bawumia,evil man
"Nkwasiasem ni nkwasiakeka saaa, has there been a coup attempt under the fourth republic?",Bawumia,nkwasiasem ni nkwasiakeka saaa coup attempt fourth republic
I wish for it... Let's clean the country.,Bawumia,wish let clean country
"Coup in Ghana, I thought we left that in the 70s?",Bawumia,coup ghana thought left
"Don't worry, the curses will still pour on that head of yours.",Bawumia,worry curse still pour head
Nobody trusts this president.,Bawumia,nobody trust president
"One of tha most deceptive composure of Addo D, that convincingly confused us to believe & accept that u'll be 1 of Ghana's best presidents ever but here we are with a huge sigh of disappointment & thinking a coup can alleviate tha plight of tha suffering Ghanaian? Finish & go.",Bawumia,one tha deceptive composure addo convincingly confused u believe accept ghana best president ever huge sigh disappointment thinking coup alleviate tha plight tha suffering ghanaian finish go
If not this pic saf like I forget this man ooo,Bawumia,pic saf like forget man ooo
There's no one sef to lead that coup.,Bawumia,one sef lead coup
"We're very reasonable people in Ghana. After giving out this country to destroy it in the manner you did, we aren't fools to destroy it any further",Bawumia,reasonable people ghana giving country destroy manner fool destroy
"Why is this guy making mouth mouth like this huh?
  ""The souls assuring you of salvation could be the same planning you destruction"" ooo
  
  Those said hallelujah to Jesus are the same who shouted crucify him ooo. Yoooo!!",Bawumia,guy making mouth mouth like huh soul assuring salvation could planning destruction ooo said hallelujah jesus shouted crucify ooo yoooo
"Who even wants a coup at this time? Knowing very well what's coming!! Ahh....Abongo, forget it!",Bawumia,even want coup time knowing well coming ahh abongo forget
Ogyegyefo,Bawumia,ogyegyefo
You get watch sef,Bawumia,get watch sef
"You are not God. But remember sir, no one cares about you. Just reflect the way you govern this country for 7yrs. Rather be grateful that Ghanaians are descending. With all due respect be quiet.",Bawumia,god remember sir one care reflect way govern country yr rather grateful ghanaians descending due respect quiet
That's Bcos you've bought the conscience of the military officers.,Bawumia,bcos bought conscience military officer
We will even resist any coup. You think you can mess up and then use coup by npp soldiers to free yourself. We will vote you out and demand accountability,Bawumia,even resist coup think mess use coup npp soldier free vote demand accountability
"I don't blame you, abasaah",Bawumia,blame abasaah
Someone should tell him to stop annoying me,Bawumia,someone tell stop annoying
Apuuu na obi w) ho time...ne guy guy bi.. Mr braggart,Bawumia,apuuu na obi ho time ne guy guy bi mr braggart
As if he's doing something.....,Bawumia,something
You are only lucky we got selfish military personnel in GAF. In a serious country when inflation was killing Ghanaians we would've booted you out. You didn't have an issue with the same 1992 constitution you demonised years ago? Ghana dier until we amend that constitution yaamutu,Bawumia,lucky got selfish military personnel gaf serious country inflation killing ghanaians would booted issue constitution demonised year ago ghana dier amend constitution yaamutu
"Erm, why is he insinuating that there can be a coup? Kyer3 s3 he knows he is not doing something right, right??",Bawumia,erm insinuating coup kyer know something right right
Hehehehe...we dey hear you,Bawumia,hehehehe dey hear
Kevin,Bawumia,kevin
But who wants to organize coup . Dec is around the corner we can endure till then,Bawumia,want organize coup dec around corner endure till
We probably know what you will say after that,Bawumia,probably know say
"There will be no coup, and that doesn't mean you've not failed.",Bawumia,coup mean failed
"S3 we have hailed your tree climbing finish, we go hail your akyakya very soon.",Bawumia,hailed tree climbing finish go hail akyakya soon
Stop bragging.,Bawumia,stop bragging
E dey see in body oo,Bawumia,dey see body oo
What happened during your bid for the second term is more than coup. Coup happened in our neighbouring countries but nobody died than 2020 elections. You don't even know what is happening around you.,Bawumia,happened bid second term coup coup happened neighbouring country nobody died election even know happening around
"The sad thing is these politicians go scot free unaccountably after leaving office whether NPP or NDC!
  
  The receipts alone could rule Ghana successfully if we asked for them.",Bawumia,sad thing politician go scot free unaccountably leaving office whether npp ndc receipt alone could rule ghana successfully asked
Owudini,Bawumia,owudini
"U can not cheat anyone under our watch (Ghanaians) we are United and angry tan ever 
  Don't try man",Bawumia,cheat anyone watch ghanaians united angry tan ever try man
Who cares nonsense,Bawumia,care nonsense
Na when they're doing coup do they inform the president Asem oo,Bawumia,na coup inform president asem oo
"If there is no coup,it is not because of you Mr President. Ghanaians know better, you have no hand in",Bawumia,coup mr president ghanaians know better hand
How we fit believe you Nana. Everything you talk say you no go do you do am,Bawumia,fit believe nana everything talk say go
Stupit man talk,Bawumia,stupit man talk
No one get ur time...,Bawumia,one get ur time
"Oo yes, no one will try that
  We don't want another excuse for your poor performance.",Bawumia,oo yes one try want another excuse poor performance
If u had done the right thing would coup even occur in ur mind.,Bawumia,done right thing would coup even occur ur mind
"Like how you bragged that you'll put your presidency on the line to fight Galamsey?
  
  Funny hypocritical corrupt man",Bawumia,like bragged put presidency line fight galamsey funny hypocritical corrupt man
You're leaving so why will they waste their time on coup? You and your party are on your way out already. Start writing your handover notes,Bawumia,leaving waste time coup party way already start writing handover note
No one has that time but smoothly waiting for ur government to go back to the trenches,Bawumia,one time smoothly waiting ur government go back trench
The reason you still in power because we have weak military in Ghana. Just shut up and enjoy your criminal organization,Bawumia,reason still power weak military ghana shut enjoy criminal organization
"No one prays for coup.....this shows that you have performed poorly and your citizens are not happy with you.....what have we not seen....we won't go to imf, and went.....there won't be haircut, and there was ""sakora""......you have fallen down flat",Bawumia,one prays coup show performed poorly citizen happy seen go imf went haircut sakora fallen flat
Ghana hasn't been led democratically under you for the past 7years we undergo elections but you are a dictator,Bawumia,ghana led democratically past year undergo election dictator
"His useless government doesn't deserve that privilege and that is why he is still in office till today. I think Ghanaians are very civic, have respect for rule of law. And expect his shambolic government to run its full length. So in the end he will be called to accountability.",Bawumia,useless government deserve privilege still office till today think ghanaians civic respect rule law expect shambolic government run full length end called accountability
I no chop hook up girl finish make i think of military take over masa nobody get your time ooo we dey street long,Bawumia,chop hook girl finish make think military take masa nobody get time ooo dey street long
Failure failure failure complete failure u are Mr. Wannabe president!,Bawumia,failure failure failure complete failure mr wannabe president
guy guy seyiaa na dem take do am simple,Bawumia,guy guy seyiaa na dem take simple
"I came here for the comments
  And wow….this man is the definition of failure",Bawumia,came comment wow man definition failure
Nansis,Bawumia,nansis
No one will even try a coup on this your government so you will blame your 7 years failure on it.,Bawumia,one even try coup government blame year failure
"The most Corrupt President in Ghana's history, and not just a failure but Autocratic too. God save our Motherland from oppressors",Bawumia,corrupt president ghana history failure autocratic god save motherland oppressor
Nobody cares about ousting you. Your legacy is a poor one and that's enough shame for a man who has prepared all his life to become president and failed woefully at it. Your deeds as president go before u.,Bawumia,nobody care ousting legacy poor one enough shame man prepared life become president failed woefully deed president go
Caricature/Dracula,Bawumia,caricature dracula
A president who fear coup is Obviously a president who is very much aware of his own failure towards his own citizens and feeling insecure for that matter so trust me guys this man knows very well he has failed no one should even suffer to remind him of it,Bawumia,president fear coup obviously president much aware failure towards citizen feeling insecure matter trust guy man know well failed one even suffer remind
"Coup for who .......
  
  You dead criminal goat",Bawumia,coup dead criminal goat
as if anybody has that kind of time for you.....mr self importance....apuuuuu !,Bawumia,anybody kind time mr self importance apuuuuu
"Abodam!should it strike,you will be fair game... when you think there's peace and safety, a sudden destruction....",Bawumia,abodam strike fair game think peace safety sudden destruction
"The way we are suffering now, it's more than a coup.",Bawumia,way suffering coup
"Nobody has your time and Nobody is doing a coup, we love our country despite your insensitive leadership",Bawumia,nobody time nobody coup love country despite insensitive leadership
you won't get that honour mpo. we all know you're waiting for someone to put the blame on but you won't get that luxury. wicked man,Bawumia,get honour mpo know waiting someone put blame get luxury wicked man
"Thank you Mr. President, well said. But Mr. President don't you think you must also proclame that there will be no elections rigging under your watch. Can you openly instruct Jean Mensah and her EC to make sure the 2024 elections are free and fair, devoid of Npp favouritism.",Bawumia,thank mr president well said mr president think must also proclame election rigging watch openly instruct jean mensah ec make sure election free fair devoid npp favouritism
"Do you have a watch to eye, mtchwww",Bawumia,watch eye mtchwww
"Ebe say we get nansis military, nanka dem commort u longest time. Such a useless president",Bawumia,ebe say get nansis military nanka dem commort longest time useless president
"Everyday I despise Ashantis more, because of their myopic and tribal foolishness, they voted for this Dictator. Ashantis are not intelligent people who are needed in a functioning country. They are tribal bigots with short sightedness. Aboaaa mba",Bawumia,everyday despise ashantis myopic tribal foolishness voted dictator ashantis intelligent people needed functioning country tribal bigot short sightedness aboaaa mba
You are a failure,Bawumia,failure
"""There will be no haircut""
  We are familiar with these things.",Bawumia,haircut familiar thing
You have failed as a president and u will be the worst president in the history of our country May God hv mercy on ur soul,Bawumia,failed president worst president history country may god hv mercy ur soul
A smoke screen?,Bawumia,smoke screen
one is spherical,Bawumia,one spherical
Does he know the permission of the commander in chief isn't required as far as coup is concerned?,Bawumia,know permission commander chief required far coup concerned
I'm glad that you have been tipped of some info. Kudos to the military. One day Ghana will be free from npp/ndc rule.,Bawumia,glad tipped info kudos military one day ghana free npp ndc rule
He dey fear...,Bawumia,dey fear
Oh see ein too known bi,Bawumia,oh see ein known bi
"This year, 2024, is an election year in Ghana",Bawumia,year election year ghana
Thank you Mr. President Ghanaians deserve more than this. Next time they'll choose wisely,Bawumia,thank mr president ghanaians deserve next time choose wisely
Follow the Prophetic Ministry channel on WhatsApp:,Bawumia,follow prophetic ministry channel whatsapp
"Of course there won't be a coup, that's why he's allowed the American military to come in and do what they want with Ghana, so he feels 'protected'!",Bawumia,course coup allowed american military come want ghana feel protected
Constitution what ? So is holiday right Ghana paaaa ne agyimi,Bawumia,constitution holiday right ghana paaaa ne agyimi
why's opana paranoid?,Bawumia,opana paranoid
No one have your time just do your best and pack out come Jan 6 2025 for our next Prez John Dramani Mahama to come and reshape and bring back the hope Ghanaians want to us.,Bawumia,one time best pack come jan next prez john dramani mahama come reshape bring back hope ghanaians want u
Who get time to overthrow you? Apuuuuuu,Bawumia,get time overthrow apuuuuuu
Old man u need check up ooo lol we have lazy military you should thank your protocol system waii lol,Bawumia,old man need check ooo lol lazy military thank protocol system waii lol
Your own corruption will orchestrate a coup against you Akuffo Addo Alibba the thief,Bawumia,corruption orchestrate coup akuffo addo alibba thief
nigga you have less than a year to leave office stop talking,Bawumia,nigga less year leave office stop talking
Una mind no go touch ground,Bawumia,una mind go touch ground
"Papa. There would be no coup in Ghana ever period! This is a collective resolve of well meaning Ghanaians. It is a collective responsibility not just you, Your Excellency Mr. President.",Bawumia,papa would coup ghana ever period collective resolve well meaning ghanaians collective responsibility excellency mr president
Just resign,Bawumia,resign
"A president who is always asleep is ykomg about ""his watch"" lol. Asem oohhh….",Bawumia,president always asleep ykomg watch lol asem oohhh
"Nobody is ready to waste his energy on you by overthrowing you for you to say, you would done so so and if not you were overthrown . Just hurry up and leave.",Bawumia,nobody ready waste energy overthrowing say would done overthrown hurry leave
Hw3 forget you will finish the 8yrs and go as the worse president,Bawumia,hw forget finish yr go worse president
I hope he is not planning to do the opposite (maybe his own agenda),Bawumia,hope planning opposite maybe agenda
Who get time for coup?,Bawumia,get time coup
I remember u said there will be no haircut under your watch. Also u said we will not to the Imf. We all know ow the results now.,Bawumia,remember said haircut watch also said imf know ow result
Then don't ever think of rigging the election for Bawumia.,Bawumia,ever think rigging election bawumia
Ne kwasia,Bawumia,ne kwasia
"No one is thinking about that at all, you asked Ghanian to try you and you failed portoooooor.",Bawumia,one thinking asked ghanian try failed portoooooor
Mtchew,Bawumia,mtchew
Had the security system in Ghana,Bawumia,security system ghana
What watch is he talking about here,Bawumia,watch talking
Akufo-Addo swears in new Justices of the Supreme Court,Bawumia,akufo addo swears new justice supreme court
"Akufo-Addo has been pushing his people into the judiciary so they could manipulate election-related disputes when they rig the 2024 polls, buh it won't work!",Bawumia,akufo addo pushing people judiciary could manipulate election related dispute rig poll buh work
"People didn't open the article to read ooo. They just commented on the caption.
  
  If you had read, you would have known why they have sworn in these people. Bibini mpÉ› akenkan",Bawumia,people open article read ooo commented caption read would known sworn people bibini mp akenkan
He can swear in 30 more Supreme Court judges we won't settle election dispute there,Bawumia,swear supreme court judge settle election dispute
"Why so many justices of the SCoG? Even the United States of America has 9 with 8 Associate Justices wince 1869 even though the whole power to appoint Justices of the SCOTUS is the duty of the US Congress.
  What is the point of packing the SCoG with all these Justices?",Bawumia,many justice scog even united state america associate justice wince even though whole power appoint justice scotus duty u congress point packing scog justice
